country,activity,attackdate,victim,group
CA,Manufacturing,2025-06-27 00:00:00.000000,albertaindustrialcontrols.com,safepay
GB,Business Services,2025-06-30 00:00:00.000000,listgrove.com,safepay
IL,Telecommunication,2025-08-19 10:12:13.198350,transelectric.co.il,safepay
GB,Construction,2025-06-26 00:00:00.000000,batemangroundworks.co.uk,safepay
US,Consumer Services,2025-06-30 00:00:00.000000,godbyhearth.com,safepay
MX,Healthcare,2025-08-19 09:49:01.606238,Doctocliq,killsec
AT,Technology,2025-08-18 17:46:15.753105,infoniqa.com,warlock
UG,Energy,2025-08-12 00:00:00.000000,Uganda Electricity Transmission Company Limited,qilin
US,Healthcare,2025-07-13 00:00:00.000000,apderm.com,qilin
MY,Not Found,2025-08-05 00:00:00.000000,Palmgold Management Sdn Bhd,crypto24
,Technology,2025-07-15 00:00:00.000000,Advanced Security Systems,sinobi
US,Technology,2025-08-17 00:00:00.000000,IQgistics,beast
BR,Not Found,2025-08-16 00:00:00.000000,Escauto Centro Automotivo,beast
CO,Public Sector,2025-08-18 08:10:56.990203,Justicia Penal Militar,gunra
NI,Financial Services,2025-08-18 08:10:22.195134,SEGUROS AMÉRICA,gunra
KR,Financial Services,2025-08-18 08:09:18.655408,Seoul Guarantee Insurance,gunra
TN,Transportation/Logistics,2025-08-17 06:08:25.229580,International Freight & Commerce,direwolf
HK,Financial Services,2025-08-17 00:00:00.000000,Welcome Financial Group,qilin
LV,Not Found,2025-08-17 23:14:15.689172,Matiss,everest
NL,Healthcare,2025-08-17 16:58:15.964275,Clinical Diagnosis,nova
,Healthcare,2025-08-04 00:00:00.000000,Rehabilitative Health Svc,beast
PH,Not Found,2025-07-04 00:00:00.000000,gmtaconline,warlock
,Not Found,2025-07-04 00:00:00.000000,woodboure,warlock
,Not Found,2025-07-04 00:00:00.000000,STRGOME,warlock
,Not Found,2025-07-04 00:00:00.000000,argeninta,warlock
FR,Not Found,2025-07-04 00:00:00.000000,houra,warlock
GB,Not Found,2025-07-04 00:00:00.000000,houxt,warlock
DK,Not Found,2025-07-04 00:00:00.000000,getdomain,warlock
IN,Not Found,2025-06-25 00:00:00.000000,kipl,warlock
,Not Found,2025-06-25 00:00:00.000000,nszi,warlock
JP,Technology,2025-08-09 00:00:00.000000,accsnet.com,warlock
US,Technology,2025-08-09 00:00:00.000000,advion.com,warlock
,Technology,2025-07-29 00:00:00.000000,mysecop.com,warlock
,Manufacturing,2025-08-09 00:00:00.000000,atcmanufacturing,warlock
FR,Telecommunication,2025-08-09 00:00:00.000000,orange.com,warlock
US,Healthcare,2025-08-09 00:00:00.000000,anthembio.com,warlock
US,Technology,2025-08-09 00:00:00.000000,syspro.com,warlock
US,Technology,2025-08-09 00:00:00.000000,brightwork.com,warlock
,Not Found,2025-08-06 00:00:00.000000,starsalliance.com,warlock
EC,Technology,2025-08-06 00:00:00.000000,sipecom.com,warlock
,Not Found,2025-08-07 00:00:00.000000,wytechnology.local,warlock
US,Technology,2025-08-08 00:00:00.000000,webcids.com,warlock
US,Manufacturing,2025-08-08 00:00:00.000000,rougine-mfg.com,warlock
US,Financial Services,2025-08-14 00:00:00.000000,magcpa.com,warlock
AE,Not Found,2025-08-15 00:00:00.000000,wfd2027uae.ae,warlock
JO,Business Services,2025-08-17 09:18:46.095359,tagorg.com,warlock
JP,Technology,2025-08-17 09:18:22.468552,hitachi-hta.com,warlock
GB,Education,2025-08-17 09:17:58.022879,primrose.com,warlock
US,Construction,2025-08-17 09:17:33.572711,clearybuilding.us,warlock
GB,Telecommunication,2025-08-17 09:17:07.999229,colt.net,warlock
,Not Found,2025-08-16 00:00:00.000000,Panorama,spacebears
US,Financial Services,2025-07-20 00:00:00.000000,mycpaconnection.com,incransom
US,Manufacturing,2025-08-15 00:00:00.000000,Hytrol,akira
DE,Business Services,2023-12-13 09:15:00.000000,CMS Legal Services EEIG,crypto24
,Not Found,2025-08-16 08:19:56.581162,THE MILLENNIUM GROUP,d4rk4rmy
US,Business Services,2025-08-16 08:19:32.159606,VINSON & ELKINS LLP,d4rk4rmy
UK,Manufacturing,2025-08-13 00:00:00.000000,ethicalpackaging.co.uk,qilin
PH,Not Found,2025-08-16 00:00:00.000000,Xperthair,qilin
US,Education,2025-08-15 21:51:48.894616,Pequannock Township School District,interlock
TH,Transportation/Logistics,2025-08-15 02:25:00.000000,MJets,incransom
BE,Not Found,2025-07-07 00:00:00.000000,Töller,incransom
US,Manufacturing,2025-08-15 18:46:52.102029,Grand Rapids Controls,anubis
DE,Not Found,2025-08-06 00:00:00.000000,DAT AUTOHUS AG,everest
US,Financial Services,2025-08-11 00:00:00.000000,Philadelphia Investment Partners,everest
DE,Technology,2025-08-12 00:00:00.000000,Voltus GmbH,everest
PL,Not Found,2025-08-14 00:00:00.000000,BRIJU.PL,everest
US,Technology,2025-08-14 00:00:00.000000,MYVISAJOBS.COM,everest
??,Not Found,2025-06-24 00:00:00.000000,ACMARK,apos
KR,Technology,2025-08-15 12:48:00.000000,SFA Engineering,underground
,Manufacturing,2025-03-16 00:00:00.000000,Barlows Electrical,beast
US,Consumer Services,2025-07-25 00:00:00.000000,"Karndean International, LLC",crypto24
,Not Found,2025-08-15 00:00:00.000000,ZMM,akira
PL,Not Found,2025-08-15 00:00:00.000000,marma.com.pl,qilin
CH,Not Found,2025-08-15 00:00:00.000000,Morgenstern AG,qilin
IT,Technology,2025-08-15 05:05:43.832409,Maselli Misure S.p.A. Information,sarcoma
FR,Consumer Services,2025-08-15 03:54:39.622445,Peggy Sage,datacarry
US,Financial Services,2025-07-10 00:00:00.000000,Norwest Venture Partners,sinobi
PT,Technology,2024-03-27 14:57:43.127611,L-Pimenta (etdeletronics),qilin
US,Financial Services,2025-04-19 00:00:00.000000,www.captrade.com,qilin
IT,Not Found,2025-08-11 00:00:00.000000,liabergamo.it,qilin
FR,Not Found,2025-08-13 00:00:00.000000,smefazur.fr,qilin
,Not Found,2025-08-10 00:00:00.000000,ABcom,play
US,Manufacturing,2025-08-14 21:35:40.025700,Greenscape Pump Services,play
US,Technology,2025-08-14 21:35:02.001096,eShipGlobal,play
US,Technology,2025-08-14 21:34:22.201057,NextLabs,play
US,Manufacturing,2025-08-14 00:00:00.000000,"Ranshu, Meridian Auto Parts, Visionaire,Omega enviromenta technologies, Ap Air",akira
US,Construction,2025-08-14 00:00:00.000000,Erdy McHenry Architecture,akira
IT,Not Found,2025-08-14 14:20:30.711560,Avv Emilio Marco Casali,direwolf
GB,Business Services,2025-08-14 14:20:13.590446,Immigration Advice Service,direwolf
NO,Not Found,2025-08-14 14:19:49.080976,ksubsea-group,direwolf
US,Not Found,2025-08-14 00:00:00.000000,Lundberg Design,akira
US,Not Found,2025-08-14 00:00:00.000000,Rusin Law,akira
,Not Found,2025-07-25 00:00:00.000000,Manhattan Retirement Foundation,beast
US,Not Found,2025-08-08 00:00:00.000000,Barbas Nunez Sanders Butler & Hovsepian,beast
,Not Found,2025-08-13 00:00:00.000000,a********p.com,J
,Healthcare,2025-08-13 07:47:27.363000,Comprehensive Pain Centers,sinobi
US,Construction,2025-08-13 07:49:21.238000,J Derenzo,sinobi
,Not Found,2025-08-13 07:52:38.577000,One Way Solutions,sinobi
US,Education,2025-08-13 07:43:35.053000,TELACU College,sinobi
US,Not Found,2025-07-27 00:00:00.000000,ECM Consultants,sinobi
US,Technology,2025-08-13 23:18:13.345793,Advanced HPC,anubis
US,Healthcare,2025-08-11 00:00:00.000000,Charak Center for Health,qilin
,Not Found,2025-08-13 00:00:00.000000,ffs.com,qilin
US,Healthcare,2025-07-10 00:00:00.000000,Coös County Family Health,RunSomeWares
FR,Technology,2025-07-28 00:00:00.000000,FranceLink,akira
DZ,Agriculture and Food Production,2025-08-13 00:00:00.000000,Cevital,akira
US,Construction,2025-08-12 00:00:00.000000,Ahtna Incorporated,qilin
US,Business Services,2025-08-13 00:00:00.000000,Litchfield Cavo LLP,akira
,Public Sector,2025-08-13 05:21:08.125098,Box Elder County,interlock
US,Manufacturing,2025-06-15 00:00:00.000000,Hygrade Components,sinobi
US,Financial Services,2025-08-09 13:17:17.724000,Eagan Insurance,sinobi
AU,Energy,2025-08-09 15:19:55.096000,Energy Developments,sinobi
TW,Technology,2025-07-15 00:00:00.000000,Harmony Electronics Corp,sinobi
BR,Healthcare,2025-08-12 22:46:40.000000,EB Farmacutica,arcusmedia
,Not Found,2025-08-12 00:00:00.000000,bvasd.net,qilin
,Construction,2025-08-12 00:00:00.000000,northernconstruction.com,qilin
US,Technology,2025-08-12 00:00:00.000000,syncadd.com,qilin
TT,Financial Services,2025-08-12 00:00:00.000000,venturecreditunion.com,qilin
DE,Transportation/Logistics,2025-08-12 00:00:00.000000,Haeger & Schmidt Logistics,qilin
US,Business Services,2025-08-12 16:38:50.734323,Epperson Law Group,interlock
US,Healthcare,2025-08-12 00:00:00.000000,Assisted Living Pharmacy Service LLC,qilin
US,Not Found,2022-06-23 18:57:09.000000,Nutis Press,worldleaks
,Not Found,2025-08-12 11:12:35.669170,Kar ***,crypto24
,Not Found,2025-08-12 05:42:24.012818,Trans-Tex,rhysida
GB,Transportation/Logistics,2025-08-12 03:40:56.301306,MMA TRANSFERS,d4rk4rmy
DE,Not Found,2025-08-11 00:00:00.000000,burmann.de,qilin
CA,Business Services,2025-08-11 18:50:52.919212,MBM Intellectual Property Law,interlock
US,Public Sector,2025-08-11 18:50:15.340814,City of St Paul,interlock
US,Not Found,2025-08-07 00:00:00.000000,The Scharine Group,play
US,Consumer Services,2025-08-07 00:00:00.000000,Bluewater Yacht Sales,play
IN,Technology,2025-08-11 18:43:11.369713,Travancore Analytics,play
US,Not Found,2025-08-06 00:00:00.000000,Rite Track,play
TR,Not Found,2025-08-07 00:00:00.000000,Çağrı Group,qilin
NL,Agriculture and Food Production,2025-07-29 00:00:00.000000,agrofair,qilin
,Not Found,2025-08-11 00:00:00.000000,empur,qilin
US,Healthcare,2025-08-08 00:00:00.000000,Woodside,akira
SE,Manufacturing,2025-07-22 00:00:00.000000,Bondtech,akira
US,Manufacturing,2025-08-08 00:00:00.000000,Wytech Industries,akira
,Not Found,2025-08-11 00:00:00.000000,Summer results,akira
US,Agriculture and Food Production,2025-08-11 00:00:00.000000,Sweetener Supply,akira
US,Manufacturing,2025-08-11 00:00:00.000000,Aurora Air Products,akira
US,Manufacturing,2025-08-11 00:00:00.000000,Safti First,akira
US,Business Services,2025-08-11 00:00:00.000000,The Law Offices of Hicks & Demps,akira
,Transportation/Logistics,2025-08-11 00:00:00.000000,SPEEDLOGISTIK,akira
GR,Transportation/Logistics,2025-08-11 00:00:00.000000,TOP Ships,akira
,,2025-08-11 00:00:00.000000,Geotec,akira
US,Technology,2025-08-11 00:00:00.000000,Sterling Card Solutions,akira
,,2025-08-11 00:00:00.000000,TRS Industries,akira
GB,Technology,2025-08-11 00:00:00.000000,Microcosm,akira
DE,Energy,2025-08-11 00:00:00.000000,GWU-Umwelttechnik GmbH,akira
US,Not Found,2025-07-20 00:00:00.000000,ESD,akira
US,Construction,2025-07-25 00:00:00.000000,Architectural DesignWest,akira
US,Consumer Services,2025-07-28 00:00:00.000000,Spring Footwear,akira
,Business Services,2025-08-10 00:00:00.000000,The Law Company,akira
,Manufacturing,2025-08-10 00:00:00.000000,Anderson Packaging,akira
US,Transportation/Logistics,2025-08-11 00:00:00.000000,Atlas Transfer & Storage,akira
US,Financial Services,2025-08-11 00:00:00.000000,"Insero & Co. CPAs, LLP",akira
US,Healthcare,2025-08-11 11:11:00.000000,Louis Tieu DDS MD,incransom
US,Public Sector,2025-08-10 00:00:00.000000,Community Services of Missouri,weyhro
US,Manufacturing,2025-08-10 00:00:00.000000,Chemtron RiverBend,weyhro
GB,Telecommunication,2025-07-29 00:00:00.000000,TigerCommunications,securotrop
IT,Technology,2025-08-10 17:41:56.709914,Alascom,rhysida
US,Technology,2025-08-10 10:53:42.000000,L3Harris Technologies,worldleaks
US,Financial Services,2025-05-19 00:00:00.000000,Howard Financial & Associates,incransom
GB,Technology,2025-08-08 00:00:00.000000,getech.com,qilin
UK,Education,2025-08-07 00:00:00.000000,St Thomas More Catholic High School,qilin
JP,Manufacturing,2025-07-21 00:00:00.000000,jtekt.eu,qilin
GB,Not Found,2025-06-25 00:00:00.000000,formacompany,qilin
,Technology,2025-08-09 21:10:35.254655,European Business Server Cluster,bqtlock
DK,Not Found,2025-08-06 00:00:00.000000,NEAS,play
US,Not Found,2025-08-04 00:00:00.000000,RHI Supply,play
US,Manufacturing,2025-08-04 00:00:00.000000,CFI Tire Service,play
DE,Business Services,2025-08-09 07:43:34.308101,Wstg-steuerberater.de,cloak
,Not Found,2025-08-09 07:43:11.505772,Tu*******ne,cloak
,Not Found,2025-08-09 07:43:09.355096,Go********l,cloak
BH,Not Found,2025-08-09 07:43:05.730008,*********.bh,cloak
RO,Not Found,2025-08-09 07:43:01.526493,*******roup.ro,cloak
NO,Not Found,2025-07-28 00:00:00.000000,Viking Automation,everest
GB,Manufacturing,2025-07-15 00:00:00.000000,Dyson Corp.,sinobi
US,Consumer Services,2025-07-24 00:00:00.000000,Drive & Shine,lynx
US,Hospitality and Tourism,2025-08-01 00:00:00.000000,mauilodging.com,safepay
CZ,Manufacturing,2025-08-07 00:00:00.000000,CIMEXSTEEL.CZ,qilin
US,Healthcare,2025-07-08 00:00:00.000000,Pacific HealthWorks,everest
US,Not Found,2025-08-08 10:21:42.927461,La Perouse,everest
US,Not Found,2025-08-08 08:33:00.000000,M****s,payoutsking
GB,Technology,2025-08-07 23:33:00.000000,multichem.net,incransom
US,Energy,2025-07-29 20:48:46.002000,Main Electric Supply Co.,sinobi
,Not Found,2025-08-06 13:13:41.323000,Admiral Gaming Network,lynx
JP,Manufacturing,2025-08-07 00:00:00.000000,shinko plastics co. ltd,qilin
AU,Education,2025-08-07 00:00:00.000000,Belmont christian college,qilin
US,Not Found,2025-08-07 00:00:00.000000,ryeco.com,qilin
US,Not Found,2025-08-07 00:00:00.000000,lpco.co,qilin
GB,Technology,2025-08-07 00:00:00.000000,eyeqmonitoring.com,qilin
US,Not Found,2025-08-07 00:00:00.000000,avosinamed.com,qilin
CA,Not Found,2025-08-07 00:00:00.000000,camdon.ca,qilin
US,Public Sector,2025-08-07 00:00:00.000000,lodipd.org,qilin
US,Not Found,2025-07-31 00:00:00.000000,csrepair.com,qilin
,Not Found,2025-08-07 00:00:00.000000,studebakersubmetering.com,qilin
US,Construction,2025-08-07 00:00:00.000000,sotaconstruction.com,qilin
US,Healthcare,2025-07-24 09:30:54.000000,Able Home Care,worldleaks
CA,Not Found,2025-06-29 00:00:00.000000,The Gisborne Group,worldleaks
US,Manufacturing,2025-07-10 00:00:00.000000,Neway Valve,worldleaks
US,Healthcare,2025-02-03 14:43:16.164520,Origene,worldleaks
IT,Energy,2025-07-30 17:43:48.000000,ACEA SpA,worldleaks
DE,Healthcare,2025-07-03 00:00:00.000000,Dr. Falk Pharma,worldleaks
US,Not Found,2025-06-15 00:00:00.000000,Prime Beverage Group,worldleaks
BE,Construction,2025-07-08 00:00:00.000000,Primoris,worldleaks
TW,Technology,2025-07-29 00:00:00.000000,azurewave.com,qilin
US,Financial Services,2025-08-07 11:49:42.851005,BRIDGEWATER ASSOCIATES,d4rk4rmy
AU,Financial Services,2025-08-07 11:49:15.124410,MAGELLAN FINANCIAL GROUP,d4rk4rmy
CA,Financial Services,2025-08-07 11:48:51.592306,ONEX CANADA ASSET MANAGEMENT INC,d4rk4rmy
US,Financial Services,2025-08-07 11:48:27.074386,TSAI CAPITAL,d4rk4rmy
JP,Financial Services,2025-08-07 11:48:01.841775,MIZUHA FINANCIAL GROUP,d4rk4rmy
IT,Manufacturing,2025-06-14 00:00:00.000000,Triveneta Vetro,spacebears
FR,Not Found,2025-08-06 16:41:12.000000,PANSARD & ASSOCIES,medusa
JP,Manufacturing,2025-08-03 00:00:00.000000,Jamco Aerospace,play
GB,Not Found,2025-08-06 19:28:57.329102,Emprise,play
US,Agriculture and Food Production,2025-07-30 00:00:00.000000,Brad's Bedding Plants,play
US,Not Found,2025-07-25 00:00:00.000000,The Magni Group,play
KE,Energy,2025-08-06 00:00:00.000000,Kengen,qilin
CO,Not Found,2025-08-06 00:00:00.000000,ferrocortes,qilin
GB,Not Found,2025-05-24 14:05:36,Payme Ltd,blacknevas
US,Education,2025-05-21 08:12:47,LEARN is a Regional Educational Service Center,blacknevas
IN,Manufacturing,2025-05-08 16:37:12,CLEARSYNTH LABS LIMITED,blacknevas
IT,Business Services,2025-05-19 08:35:02,PROMOSFERA S.r.l. promosfera.com,blacknevas
ES,Consumer Services,2025-05-30 20:42:18,Cash and carry - COSAEN GRUP,blacknevas
GB,Business Services,2025-06-09 19:47:31,KINAS SOLICITORS kinas.co.uk,blacknevas
US,Technology,2025-05-21 08:22:47,"Quality Data Service, Inc.",blacknevas
JP,Technology,2025-07-07 19:34:16,Dragonfly CO. LTD dragonflygame.com,blacknevas
,Not Found,2025-07-02 09:30:15,CILI,blacknevas
TH,Hospitality and Tourism,2025-07-22 08:04:48,CHABAA BANGKOK,blacknevas
FR,Education,2025-08-06 12:00:00.000000,Afpa,incransom
GB,Manufacturing,2025-08-06 17:18:30.145234,BRUNTON-SHAW.COM,everest
TH,Energy,2024-11-20 15:00:01.000000,CK Power Public Company Limited,blacknevas
JP,Not Found,2025-07-27 13:44:51,TANI & ABE,blacknevas
US,Not Found,2025-08-06 16:57:10.575167,Budinger & Associates,securotrop
US,Manufacturing,2025-08-06 15:41:06.422852,F&P Georgia Mfg Inc,nitrogen
CO,Agriculture and Food Production,2025-08-06 14:48:07.029150,Harinera del Valle,sarcoma
,Manufacturing,2025-08-06 14:48:01.971693,Metro Heating,sarcoma
US,Manufacturing,2025-08-06 00:00:00.000000,MGM Transformer,akira
US,Consumer Services,2025-08-06 10:00:00.000000,Consumer Electronics & Computers Retail Retail,incransom
GB,Not Found,2025-08-06 11:50:46.002669,Brunton-Shaw,everest
,Not Found,2025-08-06 11:50:02.004980,EMMCORP.COM,everest
US,Healthcare,2025-07-17 15:24:27.020488,Heart of America Medical Centr (HAMC),embargo
US,Business Services,2025-08-06 08:43:40.415676,Diversified Project Services International,dragonforce
US,Not Found,2025-06-24 00:00:00.000000,Neff Specialties,pear
US,Not Found,2025-06-24 00:00:00.000000,Hamilton Park,pear
US,Construction,2025-06-24 00:00:00.000000,Brookside Homes,pear
US,Not Found,2025-06-26 00:00:00.000000,Clarkston First Baptist Church,pear
US,Manufacturing,2025-06-27 00:00:00.000000,Bromack Manufacturing,pear
US,Not Found,2025-07-03 00:00:00.000000,Ail Hospitality Group,pear
US,Not Found,2025-07-03 00:00:00.000000,Twin Oaks Presbyterian Church,pear
US,Healthcare,2025-06-24 00:00:00.000000,ThinkBig Health Care Solutions,pear
NZ,Not Found,2025-07-08 00:00:00.000000,Tas Nz Bay Limited,pear
AU,Not Found,2025-07-08 00:00:00.000000,Alt Vision,pear
US,Consumer Services,2025-07-09 00:00:00.000000,Preferred Homes Realty,pear
US,Not Found,2025-07-15 00:00:00.000000,The Job Shop,pear
US,Business Services,2025-07-17 00:00:00.000000,The Danvers Law Offices,pear
DE,Manufacturing,2025-07-17 00:00:00.000000,Kalchschmid GmbH & Co. KG,pear
US,Manufacturing,2025-07-21 00:00:00.000000,U.S. Battery,pear
US,Not Found,2025-07-24 00:00:00.000000,JWiz,pear
US,Business Services,2025-07-28 00:00:00.000000,"Hankin & Mazel, PLLC",pear
US,Business Services,2025-07-15 00:00:00.000000,Garrison Law Firm,pear
,Education,2025-07-24 00:00:00.000000,ridgefield.org,safepay
BR,Not Found,2025-08-05 19:57:53.305000,cibraco,lynx
MY,Financial Services,2025-08-05 19:26:47.432258,HCK Capital Group,direwolf
SG,Construction,2025-08-05 19:26:19.378994,Kingsford Development & LEADBUILD Construction Pte Ltd,direwolf
GB,Education,2025-08-05 18:14:30.064090,melland.bright-futures.co.uk,kairos
US,Healthcare,2025-08-05 11:55:00.000000,Carrollton Ear Nose and Throat,incransom
US,Not Found,2025-08-05 12:29:00.000000,S****s,payoutsking
MX,Technology,2025-08-05 00:00:00.000000,aym.com.mx,J
GB,Not Found,2025-08-05 00:00:00.000000,ppmrecruit.com,J
,Construction,2025-08-04 13:09:04.773441,Newton Electrical Contractors,dragonforce
BR,Not Found,2025-08-04 22:47:37.443402,ruff.com.br,devman
TH,Hospitality and Tourism,2025-08-04 22:46:48.909334,www.diethelmtravel.com,devman
US,Public Sector,2025-08-04 21:44:40.873730,"Bucks County Opportunity Council, INC.",moneymessage
SE,Transportation/Logistics,2025-08-03 00:00:00.000000,Scania.com,teamxxx
SE,Hospitality and Tourism,2025-07-14 00:00:00.000000,alpresor.se,qilin
US,Manufacturing,2025-07-30 00:00:00.000000,Phoenix Lighting,play
US,Business Services,2025-07-29 00:00:00.000000,Backstage Library Works,play
,Manufacturing,2025-07-28 00:00:00.000000,White Horse Packaging,play
US,Technology,2025-07-18 00:00:00.000000,Terillium,play
US,Financial Services,2025-08-04 00:00:00.000000,easternadjustment.com,qilin
US,Healthcare,2025-08-04 17:34:44.853261,Weisman Children's,interlock
DE,Not Found,2025-08-04 16:08:03.420339,bw-lv.de,BrainCipher
DE,Not Found,2025-08-04 13:22:36.150858,Wedlich,dragonforce
DE,Not Found,2025-08-04 13:35:08.490261,Koenig Hausverwaltung,dragonforce
GB,Not Found,2025-08-04 13:15:59.397717,K2L,dragonforce
US,Energy,2025-08-04 04:02:54.182000,Frontline Bioenergy,lynx
BR,Financial Services,2025-07-30 19:45:53.091602,Banco Guanabara,dragonforce
,Manufacturing,2025-08-03 00:00:00.000000,Aggressive Air Compressor & co,qilin
MC,Hospitality and Tourism,2025-08-03 16:08:35.282940,CASINO DE MONTE-CARLO,d4rk4rmy
TW,Transportation/Logistics,2025-08-03 11:44:02.621413,DIMERCO,d4rk4rmy
US,Hospitality and Tourism,2025-08-03 11:43:37.588261,BIG ROCK RESORT,d4rk4rmy
DE,Technology,2025-07-15 00:00:00.000000,gid-it.de,lynx
IT,Not Found,2025-08-02 14:37:47.933907,Onegolditalia.it,IMNCrew
US,Construction,2025-08-02 12:42:13.657757,Clemens Construction,dragonforce
US,Agriculture and Food Production,2022-10-20 21:51:27.146973,Pitman Farms,dragonforce
US,Financial Services,2025-07-29 08:10:46.334000,www.pefco.com,lynx
US,Healthcare,2025-08-02 11:17:22.505373,Cookeville Regional Medical Center,rhysida
US,Education,2025-07-30 18:10:59.000000,Franklin Pierce Schools,medusa
US,Agriculture and Food Production,2025-07-30 18:13:23.000000,White Coffee Corporation,medusa
US,Not Found,2025-08-01 20:30:25.539000,Lincoln Law,lynx
US,Not Found,2025-07-14 00:00:00.000000,chamberlainhuckeriede.com,safepay
CA,Technology,2025-08-01 00:00:00.000000,cadex.com,qilin
ES,Not Found,2025-08-01 00:00:00.000000,envac.es,qilin
US,Education,2025-08-01 00:00:00.000000,fortsmithschools.org,qilin
DE,Manufacturing,2025-08-01 00:00:00.000000,Meissner Fenstertechnik,akira
US,Education,2025-07-31 00:00:00.000000,Radford City Schools,incransom
DE,Not Found,2025-08-01 00:00:00.000000,Hölscher Holding,akira
,Business Services,2025-08-01 00:00:00.000000,Herrman Law Firm,akira
GY,Agriculture and Food Production,2025-07-31 00:00:00.000000,Guyana Sugar,akira
US,Consumer Services,2025-07-31 00:00:00.000000,Great Lakes Carpet &Tile,akira
TW,Not Found,2025-08-01 00:58:58.278195,kw****.tw,devman
TW,Not Found,2025-08-01 00:58:32.645727,pr*****.tw,devman
TW,Technology,2025-08-01 00:58:07.310750,b*u*l*****.tw,devman
TW,Not Found,2025-08-01 00:57:40.050983,***.c*m.tw,devman
US,Construction,2025-06-20 00:00:00.000000,PK Contracting,sinobi
IT,Not Found,2025-07-31 22:56:10.285781,Framon S.p.A.,dragonforce
US,Technology,2025-07-31 00:00:00.000000,Ieee-apscon.org,flocker
DE,Not Found,2025-07-31 12:56:00.000000,erichschleichgmbh.de,incransom
US,Financial Services,2025-06-29 00:00:00.000000,carolynmyoung.com,incransom
GB,Business Services,2025-07-30 00:00:00.000000,bridgerecruit.co.uk,J
US,Public Sector,2025-05-15 00:00:00.000000,wvpca.org,incransom
US,Manufacturing,2025-07-03 00:00:00.000000,Thern,play
US,Technology,2025-07-31 19:23:55.144907,Quartus Engineering,play
US,Education,2025-06-26 00:00:00.000000,firstpresatl.org,incransom
US,Technology,2025-07-31 19:15:54.076605,"eFunda, Inc.",bqtlock
US,Public Sector,2025-07-31 19:15:25.906563,USA Military Alumni Networks,bqtlock
US,Technology,2025-06-15 00:00:00.000000,lynkspot.com,incransom
US,Consumer Services,2025-06-25 00:00:00.000000,deliastamales.com,incransom
US,Not Found,2025-07-31 11:52:00.000000,whiteconlee.com,incransom
US,Business Services,2025-07-25 00:00:00.000000,iPROMOTEu,everest
US,Financial Services,2025-07-26 00:00:00.000000,Grayscale Investments,everest
US,Technology,2025-07-26 00:00:00.000000,Mailchimp,everest
,Not Found,2025-07-31 00:00:00.000000,T***********p.com,flocker
US,Not Found,2025-07-23 00:00:00.000000,Crumbl - Full leak published,everest
JO,Not Found,2025-07-30 00:00:00.000000,www.afmco.jo,qilin
,Not Found,2025-07-31 00:00:00.000000,G*****n.com,flocker
TW,Not Found,2025-07-31 00:00:00.000000,H**u.i*v.tw,flocker
CA,Energy,2025-07-31 03:37:00.000000,Devon,incransom
CO,Not Found,2025-07-30 00:00:00.000000,PDC www.cobranzasbeta.com.co,qilin
CH,Technology,2025-07-26 00:00:00.000000,Bitbox,everest
US,Not Found,2025-07-30 13:00:00.000000,fsl.org,incransom
DE,Manufacturing,2025-07-30 00:00:00.000000,RUKU Tore - Türen,global
IT,Not Found,2025-07-29 00:00:00.000000,restiani.com,J
US,Manufacturing,2025-07-28 19:05:18.886000,Tooling Systems Group,lynx
ES,Not Found,2025-07-20 15:52:35.000000,DARA Pharma,blackbyte
US,Business Services,2025-07-30 10:43:51.538876,Lee & Associates,blackbyte
BR,Not Found,2025-07-30 10:43:26.742033,Cpat Flex,blackbyte
US,Financial Services,2025-07-30 10:42:59.969620,Towne Mortgage,blackbyte
US,Consumer Services,2025-07-30 00:00:00.000000,Dollar Tree,incransom
FR,Manufacturing,2025-06-26 00:00:00.000000,gimaex.com,J
US,Education,2025-07-13 00:00:00.000000,Winner School District 59-2,beast
,Business Services,2025-04-20 00:00:00.000000,Windsor Realty and Management,beast
US,Not Found,2025-05-18 00:00:00.000000,Washington Court House,beast
US,Manufacturing,2025-05-24 00:00:00.000000,Sani-Tech Systems,beast
US,Healthcare,2025-06-10 00:00:00.000000,PROVAIL,beast
IN,Construction,2025-02-04 00:00:00.000000,JPS Consulting Engineers,beast
DK,Business Services,2025-02-02 00:00:00.000000,Hafnia Law Firm,beast
US,Manufacturing,2025-06-28 00:00:00.000000,Grand Rapids Metrology,beast
US,Healthcare,2025-06-22 00:00:00.000000,El Paso Quality Dentistry,beast
BE,Not Found,2025-06-30 00:00:00.000000,De Noordboom,beast
US,Manufacturing,2025-04-11 00:00:00.000000,Chevalier Machinery,beast
,Construction,2025-04-29 00:00:00.000000,Campbell Sand & Gravel,beast
GT,Financial Services,2025-07-13 00:00:00.000000,Aseguradora Fortaleza,beast
US,Construction,2025-06-26 00:00:00.000000,Acheson Doyle Partners Architects,beast
CZ,Manufacturing,2025-06-24 00:00:00.000000,ACMARK,beast
US,Construction,2025-07-24 00:00:00.000000,2fORM Architecture,beast
,Construction,2025-06-23 00:00:00.000000,Built Environment Engineers,sinobi
US,Manufacturing,2025-07-18 00:00:00.000000,Mid West Fabricating,sinobi
IL,Not Found,2025-07-29 20:37:00.019000,KMDI,sinobi
US,Technology,2025-07-29 17:56:09.618884,ingrammicro.com,safepay
